file,hunks,already,portable,partial,manual,noise,status,added,removed
drivers/clk/mmp/clk-gate.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mmp/clk-mix.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mvebu/clk-corediv.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mxs/clk-div.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mxs/clk-frac.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mxs/clk-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/mxs/clk-ref.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/nxp/clk-lpc18xx-creg.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/pistachio/clk-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/rockchip/clk-cpu.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/rockchip/clk-ddr.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/rockchip/clk-inverter.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/rockchip/clk-mmc-phase.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/rockchip/clk-muxgrf.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/rockchip/clk-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/rockchip/clk.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/samsung/clk-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/socfpga/clk-gate-a10.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/socfpga/clk-periph-a10.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/socfpga/clk-periph.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/spear/clk-aux-synth.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/spear/clk-frac-synth.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/spear/clk-gpt-synth.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/st/clk-flexgen.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/st/clkgen-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/sunxi/clk-sun4i-tcon-ch1.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-audio-sync.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-bpmp.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-divider.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-periph-fixed.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-periph-gate.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-periph.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-pll-out.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-pll.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/tegra/clk-sdmmc-mux.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/ti/mux.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/uniphier/clk-uniphier-cpugear.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/uniphier/clk-uniphier-fixed-factor.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/uniphier/clk-uniphier-fixed-rate.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/uniphier/clk-uniphier-gate.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/uniphier/clk-uniphier-mux.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/versatile/clk-icst.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/versatile/clk-sp810.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clk/x86/clk-pmc-atom.c,1,0,1,0,0,0,FULLY_PORTABLE,1,1
drivers/clocksource/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,11,0
drivers/cpufreq/freq_table.c,1,0,1,0,0,0,FULLY_PORTABLE,0,6
drivers/cpuidle/governor.c,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/cpuidle/governors/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,3,0
drivers/dma/mediatek/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,3,0
drivers/edac/edac_device.h,1,0,1,0,0,0,FULLY_PORTABLE,2,0
drivers/extcon/extcon.h,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/gnss/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,15,0
drivers/gnss/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,3,0
drivers/gpu/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,2,1
drivers/gpu/drm/drm_framebuffer.c,1,0,1,0,0,0,FULLY_PORTABLE,2,1
drivers/gpu/drm/drm_modes.c,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/gpu/drm/drm_of.c,1,0,1,0,0,0,FULLY_PORTABLE,114,0
drivers/gpu/drm/rcar-du/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/gpu/drm/rcar-du/rcar_du_plane.c,1,0,1,0,0,0,FULLY_PORTABLE,12,0
drivers/hid/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,1,0
drivers/input/Makefile,1,0,1,0,0,0,FULLY_PORTABLE,9,0
drivers/input/keyboard/Kconfig,1,0,1,0,0,0,FULLY_PORTABLE,11,2
